,ClusterName
4734,Pyramidal L2-3
5728,Pyramidal L2-3
5732,Pyramidal L2-3
6723,Pyramidal L2-3
1724,Pyramidal L2-3
5686,Pyramidal L2-3
4688,Pyramidal L2-3
5789,Pyramidal L2-3
4654,Pyramidal L2-3
4685,Pyramidal L2-3
4669,Pyramidal L2-3
4580,Pyramidal L2-3
3362,Pyramidal L2-3
4637,Pyramidal L2-3
4651,Pyramidal L2-3
4680,Pyramidal L2-3
5927,Pyramidal L2-3
4595,Pyramidal L2-3
3802,Pyramidal L2-3
6740,Pyramidal L2-3
4675,Pyramidal L2-3
1722,Pyramidal L2-3
3581,Pyramidal L2-3
1662,Pyramidal L2-3
3396,Pyramidal L2-3
1811,Pyramidal L2-3
4684,Pyramidal L2-3
1654,Pyramidal L2-3
6017,Pyramidal L2-3
4647,Pyramidal L2-3
5776,Pyramidal L2-3
4788,Pyramidal L2-3
3420,Pyramidal L2-3
3580,Pyramidal L2-3
5780,Pyramidal L2-3
3433,Pyramidal L2-3
5731,Pyramidal L2-3
1657,Pyramidal L2-3
5689,Pyramidal L2-3
3674,Pyramidal L2-3
3472,Pyramidal L2-3
3521,Pyramidal L2-3
1656,Pyramidal L2-3
3522,Pyramidal L2-3
1886,Pyramidal L2-3
3541,Pyramidal L2-3
6255,Pyramidal L2-3
4618,Pyramidal L2-3
4679,Pyramidal L2-3
3649,Pyramidal L2-3
5733,Pyramidal L2-3
2232,Pyramidal L2-3
5644,Pyramidal L2-3
6719,Pyramidal L2-3
5782,Pyramidal L2-3
3627,Pyramidal L2-3
5820,Pyramidal L2-3
4765,Pyramidal L2-3
3370,Pyramidal L2-3
4584,Pyramidal L2-3
3774,Pyramidal L2-3
4689,Pyramidal L2-3
4764,Pyramidal L2-3
4755,Pyramidal L2-3
5843,Pyramidal L2-3
3632,Pyramidal L2-3
3428,Pyramidal L2-3
6007,Pyramidal L2-3
3366,Pyramidal L2-3
4854,Pyramidal L2-3
4594,Pyramidal L2-3
4766,Pyramidal L2-3
3464,Pyramidal L2-3
3426,Pyramidal L2-3
4855,Pyramidal L2-3
5817,Pyramidal L2-3
1611,Pyramidal L2-3
5801,Pyramidal L2-3
4626,Pyramidal L2-3
1634,Pyramidal L2-3
3728,Pyramidal L2-3
6733,Pyramidal L2-3
5722,Pyramidal L2-3
4728,Pyramidal L2-3
5778,Pyramidal L2-3
1665,Pyramidal L2-3
1617,Pyramidal L2-3
4600,Pyramidal L2-3
332,Pyramidal L2-3
3355,Pyramidal L2-3
2427,Pyramidal L2-3
5026,Pyramidal L2-3
3365,Pyramidal L2-3
3498,Pyramidal L2-3
4763,Pyramidal L2-3
5779,Pyramidal L2-3
4653,Pyramidal L2-3
3425,Pyramidal L2-3 L5
4808,Pyramidal L2-3 L5
3405,Pyramidal L2-3 L5
3872,Pyramidal L2-3 L5
4642,Pyramidal L2-3 L5
245,Pyramidal L2-3 L5
4569,Pyramidal L2-3 L5
4988,Pyramidal L2-3 L5
3860,Pyramidal L2-3 L5
272,Pyramidal L2-3 L5
1569,Pyramidal L2-3 L5
71,Pyramidal L2-3 L5
1663,Pyramidal L2-3 L5
204,Pyramidal L2-3 L5
5650,Pyramidal L2-3 L5
1680,Pyramidal L2-3 L5
274,Pyramidal L2-3 L5
1785,Pyramidal L2-3 L5
341,Pyramidal L2-3 L5
3430,Pyramidal L2-3 L5
5028,Pyramidal L2-3 L5
3838,Pyramidal L2-3 L5
4606,Pyramidal L2-3 L5
6132,Pyramidal L2-3 L5
749,Pyramidal L2-3 L5
5073,Pyramidal L2-3 L5
1720,Pyramidal L2-3 L5
5206,Pyramidal L2-3 L5
4712,Pyramidal L2-3 L5
4620,Pyramidal L2-3 L5
7346,Pyramidal L2-3 L5
6085,Pyramidal L2-3 L5
18,Pyramidal L2-3 L5
4605,Pyramidal L2-3 L5
7355,Pyramidal L2-3 L5
3401,Pyramidal L2-3 L5
2050,Pyramidal L2-3 L5
6742,Pyramidal L2-3 L5
2195,Pyramidal L2-3 L5
3392,Pyramidal L2-3 L5
250,Pyramidal L2-3 L5
5809,Pyramidal L2-3 L5
3308,Pyramidal L2-3 L5
3505,Pyramidal L2-3 L5
3322,Pyramidal L2-3 L5
284,Pyramidal L2-3 L5
3828,Pyramidal L2-3 L5
7371,Pyramidal L2-3 L5
62,Pyramidal L2-3 L5
1813,Pyramidal L2-3 L5
4619,Pyramidal L2-3 L5
5745,Pyramidal L2-3 L5
4912,Pyramidal L2-3 L5
3820,Pyramidal L2-3 L5
4699,Pyramidal L2-3 L5
