"","cell_ID","cell_types","cell_subtypes"
"588",1.46235151504591e+38,"L5 ET","L5_ET_4"
"589",1.46385236418265e+38,"Endo","Endo"
"590",1.46578244307461e+38,"L5 ET","L5_ET_5"
"591",1.46591395557354e+38,"L4/5 IT","L45_IT_2"
"592",1.4664257306685e+38,"L5 IT","L5_IT_1"
"593",1.46675317400751e+38,"Peri","Peri"
"594",1.46696710272025e+38,"PVM","PVM"
"595",1.46892317668836e+38,"L6b","L6b_2"
"596",1.46906424125214e+38,"Oligo","Oligo_1"
"597",1.46972589829597e+38,"L4/5 IT","L45_IT_2"
"598",1.47228003170308e+38,"L5 ET","L5_ET_5"
"599",1.47230659332113e+38,"L6 CT","L6_CT_6"
"600",1.47289286154663e+38,"L6 CT","L6_CT_1"
"601",1.47312776283781e+38,"Sst","Sst_2"
"602",1.47319783294253e+38,"L2/3 IT","L23_IT_2"
"603",1.47367214725353e+38,"L4/5 IT","L45_IT_2"
"604",1.47595316227794e+38,"L4/5 IT","L45_IT_5"
"605",1.47633735406142e+38,"Micro","Micro_1"
"606",1.47693435405723e+38,"Astro","Astro_1"
"607",1.47729547600981e+38,"L6 CT","L6_CT_3"
"608",1.47811391351368e+38,"L6 CT","L6_CT_5"
"609",1.47942684147336e+38,"Endo","Endo"
"610",1.48134561878373e+36,"VLMC","VLMC"
"611",1.48284388100497e+38,"L4/5 IT","L45_IT_1"
"612",1.48298250027864e+38,"Micro","Micro_1"
"613",1.4836752031119e+38,"Lamp5","Lamp5_5"
"614",1.48700354738351e+38,"SMC","SMC"
"615",1.4891553656504e+38,"L6 IT","L6_IT_1"
"616",1.48934600499971e+38,"Oligo","Oligo_2"
"617",1.49083315483869e+38,"L4/5 IT","L45_IT_SSp_2"
"618",1.49174097954086e+38,"VLMC","VLMC"
"619",1.49216488647793e+38,"L4/5 IT","L45_IT_2"
"620",1.49236535909393e+38,"L4/5 IT","L45_IT_2"
"621",1.49242552477636e+38,"L5 IT","L5_IT_1"
"622",1.49289573513084e+38,"L4/5 IT","L45_IT_2"
"623",1.49393796830151e+38,"Astro","Astro_1"
"624",1.49509104861776e+38,"L2/3 IT","L23_IT_2"
"625",1.495139549096e+38,"L6 CT","L6_CT_4"
"626",1.49565357041155e+38,"L5 IT","L5_IT_1"
"627",1.49689039077847e+38,"L6 IT","L6_IT_1"
"628",1.49751075985192e+38,"L4/5 IT","L45_IT_4"
"629",1.49792254442597e+38,"L5/6 NP","L56_NP_2"
"630",1.49835888470936e+38,"L5 IT","L5_IT_1"
"631",1.49885485485378e+37,"L5 IT","L5_IT_4"
"632",1.49896867961793e+38,"L6 CT","L6_CT_3"
"633",1.4998773705717e+37,"L2/3 IT","L23_IT_4"
"634",1.50008522043335e+38,"L2/3 IT","L23_IT_4"
"635",1.50025048341872e+38,"L2/3 IT","L23_IT_2"
"636",1.50195798065078e+38,"Oligo","Oligo_1"
"637",1.50236174616017e+38,"L6 IT","L6_IT_3"
"638",1.50246462090161e+38,"Astro","Astro_1"
"639",1.50312091808514e+38,"L4/5 IT","L45_IT_SSp_1"
"640",1.50438775230146e+38,"Oligo","Oligo_1"
"641",1.50516510867992e+38,"Oligo","Oligo_1"
"642",1.50748060174509e+38,"L2/3 IT","L23_IT_4"
"643",1.50888879776558e+37,"L6 CT","L6_CT_5"
"644",1.50912894108252e+38,"L5 IT","L5_IT_1"
"645",1.5100362420312e+38,"L4/5 IT","L45_IT_5"
"646",1.51115856563877e+38,"Pvalb","Pvalb_4"
"647",1.51176276008322e+38,"L5 IT","L5_IT_1"
"648",1.51404893262333e+38,"L5 IT","L5_IT_4"
"649",1.51449238102231e+37,"L6 CT","L6_CT_2"
"650",1.51595761629606e+38,"L6 CT","L6_CT_3"
"651",1.51805467116521e+38,"L5 IT","L5_IT_3"
"652",1.51829906875505e+38,"PVM","PVM"
"653",1.51858019036621e+38,"VLMC","VLMC"
"654",1.518687122532e+38,"L6 CT","L6_CT_9"
"655",1.51908743553425e+38,"Pvalb","Pvalb_6"
"656",1.51978297197767e+38,"L2/3 IT","L23_IT_4"
"657",1.52158242745645e+38,"L6 IT","L6_IT_3"
"658",1.52252013378732e+38,"Astro","Astro_1"
"659",1.52402617128568e+38,"Peri","Peri"
"660",1.52457025345518e+38,"Pvalb","Pvalb_7"
"661",1.52536006278089e+38,"L4/5 IT","L45_IT_1"
"662",1.52545852026311e+38,"Lamp5","Lamp5_1"
"663",1.52658806361286e+38,"L4/5 IT","L45_IT_2"
"664",1.52707444929803e+38,"L2/3 IT","L23_IT_2"
"665",1.52820777174998e+38,"Peri","Peri"
"666",1.52987831541519e+38,"L4/5 IT","L45_IT_SSp_1"
"667",1.53076669495499e+38,"Pvalb","Pvalb_6"
"668",1.53165054636663e+37,"PVM","PVM"
"669",1.53176317136186e+38,"L5 IT","L5_IT_3"
"670",1.53194317571315e+37,"L5 IT","L5_IT_1"
"671",1.53250843755184e+38,"L6 CT","L6_CT_5"
"672",1.53299656384954e+38,"Peri","Peri"
"673",1.53323449826504e+38,"Astro","Astro_1"
"674",1.5340582294458e+38,"L5/6 NP","L56_NP_1"
"675",1.53416152972112e+38,"Astro","Astro_1"
"676",1.53757283457939e+38,"L4/5 IT","L45_IT_2"
"677",1.53933840162115e+38,"L6 CT","L6_CT_5"
"678",1.54030441653654e+38,"L6 IT","L6_IT_3"
"679",1.54058541234468e+37,"L6 CT","L6_CT_2"
"680",1.54155197500509e+38,"L2/3 IT","L23_IT_3"
"681",1.54279046576374e+38,"Endo","Endo"
"682",1.54326154708863e+38,"Sst","Sst_Chodl"
"683",1.54331796856673e+35,"Pvalb","Pvalb_5"
"684",1.54341716322238e+38,"Micro","Micro_1"
"685",1.54355743640791e+38,"L2/3 IT","L23_IT_2"
"686",1.54390669461351e+38,"L4/5 IT","L45_IT_4"
"687",1.54393852216873e+38,"Lamp5","Lamp5_1"
"688",1.54398359495563e+38,"L5 ET","L5_ET_5"
"689",1.54440590240359e+38,"L4/5 IT","L45_IT_2"
"690",1.54536720710821e+38,"Endo","Endo"
"691",1.54569789346172e+38,"Astro","Astro_1"
"692",1.54671236967845e+38,"L5 ET","L5_ET_2"
"693",1.54672002318261e+37,"L2/3 IT","L23_IT_3"
"694",1.54813999656463e+38,"Lamp5","Lamp5_7"
"695",1.54876976209418e+38,"Astro","Astro_2"
"696",1.55086827695424e+38,"Sst","Sst_2"
"697",1.55124202121893e+38,"L4/5 IT","L45_IT_SSp_1"
"698",1.55479869237261e+38,"Micro","Micro_1"
"699",1.55586364111259e+38,"L4/5 IT","L45_IT_2"
"700",1.55613149464759e+38,"L2/3 IT","L23_IT_4"
"701",1.55617634670266e+38,"L2/3 IT","L23_IT_4"
"702",1.55717015910289e+38,"L2/3 IT","L23_IT_2"
"703",1.55893179466971e+38,"L6 CT","L6_CT_6"
"704",1.56060244563002e+38,"Pvalb","Pvalb_9"
"705",1.56172263075073e+38,"L4/5 IT","L45_IT_SSp_1"
"706",1.56186161794885e+38,"L4/5 IT","L45_IT_SSp_2"
"707",1.5619887318615e+38,"L6 CT","L6_CT_6"
"708",1.56320259305281e+38,"L6 IT","L6_IT_1"
"709",1.56527133470927e+38,"L2/3 IT","L23_IT_3"
"710",1.56527273055422e+38,"L5 IT","L5_IT_3"
"711",1.5656437381402e+38,"SMC","SMC"
"712",1.56611898707e+38,"L6 CT","L6_CT_1"
"713",1.56619098869969e+38,"L2/3 IT","L23_IT_2"
"714",1.5667128670431e+38,"L5 IT","L5_IT_1"
"715",1.56704301933468e+38,"L5 IT","L5_IT_4"
"716",1.567636303519e+38,"SMC","SMC"
"717",1.56798418398483e+38,"L4/5 IT","L45_IT_2"
"718",1.57029074753273e+38,"L4/5 IT","L45_IT_2"
"719",1.57186250851277e+38,"L2/3 IT","L23_IT_2"
"720",1.57186588104319e+38,"Pvalb","Pvalb_4"
